query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction					
ECP_0466	155864.EDL933_0472	1E-51	209.1	Escherichia	yajC	GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0031522,GO:0032991,GO:0044425,GO:0044459,GO:0044464,GO:0071944		ko:K03210	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335			ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2			Bacteria	1MZT2@1224,1S9NV@1236,3XPRI@561,COG1862@1,COG1862@2	NA|NA|NA	U	The SecYEG-SecDF-YajC-YidC holo-translocon (HTL) protein secretase insertase is a supercomplex required for protein secretion, insertion of proteins into membranes, and assembly of membrane protein complexes
ECP_0467	199310.c0518	0	1144.8	Escherichia	secD	GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0033036,GO:0042886,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944		ko:K03072	ko03060,ko03070,map03060,map03070	M00335			ko00000,ko00001,ko00002,ko02044	2.A.6.4,3.A.5.2,3.A.5.7			Bacteria	1MV5U@1224,1RMIQ@1236,3XMPQ@561,COG0342@1,COG0342@2	NA|NA|NA	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
ECP_0468	199310.c0519	1.6E-180	638.6	Escherichia	secF	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0030312,GO:0031224,GO:0031226,GO:0033036,GO:0042886,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944		ko:K03072,ko:K03074,ko:K12257	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335			ko00000,ko00001,ko00002,ko02044	2.A.6.4,3.A.5.2,3.A.5.7			Bacteria	1MU74@1224,1RNTY@1236,3XPBS@561,COG0341@1,COG0341@2	NA|NA|NA	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
ECP_0469	155864.EDL933_0478	3.2E-64	250.8	Escherichia	yajD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	2.1.1.148	ko:K03465	ko00240,ko00670,ko01100,map00240,map00670,map01100		R06613	RC00022,RC00332	ko00000,ko00001,ko01000				Bacteria	1RGZQ@1224,1S5V4@1236,3XPM7@561,COG1403@1,COG1403@2	NA|NA|NA	V	endonuclease activity
ECP_0472	199310.c0523	1.5E-77	295.4	Escherichia	nrdR	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0008144,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141		ko:K07738					ko00000,ko03000				Bacteria	1RE7V@1224,1S3P9@1236,3XM7Q@561,COG1327@1,COG1327@2	NA|NA|NA	K	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes
ECP_0473	199310.c0524	1.5E-208	731.9	Escherichia	ribD	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006725,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0008703,GO:0008835,GO:0009058,GO:0009110,GO:0009231,GO:0009451,GO:0009987,GO:0016070,GO:0016491,GO:0016614,GO:0016616,GO:0016787,GO:0016810,GO:0016814,GO:0017144,GO:0018130,GO:0019239,GO:0034641,GO:0036094,GO:0042364,GO:0042726,GO:0042727,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046483,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0090304,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	1.1.1.193,3.5.4.26	ko:K11752	ko00740,ko01100,ko01110,ko02024,map00740,map01100,map01110,map02024	M00125	R03458,R03459	RC00204,RC00933	ko00000,ko00001,ko00002,ko01000			iB21_1397.B21_00366,iECBD_1354.ECBD_3247,iECB_1328.ECB_00362,iECD_1391.ECD_00362,iECED1_1282.ECED1_0437,iECNA114_1301.ECNA114_0391,iECSF_1327.ECSF_0374,iEcolC_1368.EcolC_3219,iJN746.PP_0514,iLF82_1304.LF82_1880,iNRG857_1313.NRG857_01945,iYL1228.KPN_00366,ic_1306.c0524	Bacteria	1MUWT@1224,1RN2M@1236,3XP5Z@561,COG0117@1,COG0117@2,COG1985@1,COG1985@2	NA|NA|NA	H	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate
ECP_0474	1006000.GKAS_02190	1.5E-77	295.4	Gammaproteobacteria	ribH	GO:0000906,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016740,GO:0016765,GO:0017144,GO:0018130,GO:0034641,GO:0042364,GO:0042726,GO:0042727,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.5.1.78	ko:K00794	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R04457	RC00960	ko00000,ko00001,ko00002,ko01000			iLJ478.TM1825,iSB619.SA_RS08940,iSFV_1184.SFV_0380	Bacteria	1RD9J@1224,1S3WD@1236,COG0054@1,COG0054@2	NA|NA|NA	H	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin
ECP_0475	754331.AEME01000001_gene2891	1E-69	269.2	Escherichia	nusB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006353,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576		ko:K03625					ko00000,ko03009,ko03021				Bacteria	1RHFZ@1224,1S6AJ@1236,3XPIS@561,COG0781@1,COG0781@2	NA|NA|NA	K	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons
ECP_0476	199310.c0528	3.1E-189	667.5	Escherichia	thiL	GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0006725,GO:0006732,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009030,GO:0009058,GO:0009108,GO:0009110,GO:0009228,GO:0009229,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0017076,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0035639,GO:0036094,GO:0042357,GO:0042364,GO:0042723,GO:0042724,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046483,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	2.7.4.16	ko:K00946	ko00730,ko01100,map00730,map01100	M00127	R00617	RC00002	ko00000,ko00001,ko00002,ko01000			iSFV_1184.SFV_0382,iYO844.BSU05900	Bacteria	1MU9X@1224,1RNHU@1236,3XMHS@561,COG0611@1,COG0611@2	NA|NA|NA	F	Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1
ECP_0477	199310.c0529	6.4E-101	373.2	Escherichia	pgpA	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006629,GO:0006644,GO:0006650,GO:0006655,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0008962,GO:0009058,GO:0009987,GO:0010035,GO:0010038,GO:0016020,GO:0016021,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019637,GO:0030258,GO:0031224,GO:0031226,GO:0032026,GO:0042221,GO:0042577,GO:0042578,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044425,GO:0044459,GO:0044464,GO:0045017,GO:0046471,GO:0046474,GO:0046486,GO:0046839,GO:0050896,GO:0071704,GO:0071944,GO:0090407,GO:1901576	3.1.3.27	ko:K01095	ko00564,ko01100,map00564,map01100		R02029	RC00017	ko00000,ko00001,ko01000			iECSP_1301.ECSP_0485,iECUMN_1333.ECUMN_0456,iECs_1301.ECs0471,iG2583_1286.G2583_0529,iPC815.YPO3179,iZ_1308.Z0520	Bacteria	1MZJA@1224,1S68A@1236,3XNNH@561,COG1267@1,COG1267@2	NA|NA|NA	I	Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG)
ECP_0479	1160718.SU9_04396	3.1E-17	97.1	Actinobacteria													Bacteria	2EXXD@1,2H2IR@201174,33R6G@2	NA|NA|NA		
ECP_0485	7213.XP_004528436.1	8.3E-16	91.3	Insecta													Bacteria	2SNCG@2759,3AJIW@33154,3C065@33208,3DG14@33213,3SR2T@50557,427WT@6656,COG1666@1	NA|NA|NA	S	Protein of unknown function (DUF520)
ECP_0486	1440052.EAKF1_ch1011c	2.2E-82	311.6	Escherichia	yajQ	GO:0000049,GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005524,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006974,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0019001,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032561,GO:0033554,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0097159,GO:0097367,GO:1901265,GO:1901363		ko:K09767					ko00000				Bacteria	1RDTF@1224,1S3RU@1236,3XN7B@561,COG1666@1,COG1666@2	NA|NA|NA	S	UPF0234 protein YajQ
ECP_0495	155864.EDL933_0506	8.8E-53	212.6	Escherichia	bolA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008360,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0019538,GO:0022603,GO:0022604,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051604,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0097428,GO:0097659,GO:0106035,GO:1901360,GO:1901362,GO:1901564,GO:1901576		ko:K05527,ko:K22066					ko00000,ko03000,ko03029				Bacteria	1MZG5@1224,1S91G@1236,3XPVA@561,COG0271@1,COG0271@2	NA|NA|NA	K	Transcriptional regulator that plays an important role in general stress response. Has many effects on cell morphology, cell growth and cell division. Acts by regulating the transcription of many genes, including dacA (PBP-5), dacC (PBP-6), ampC and mreB. Probably involved in the coordination of genes that adapt the cell physiology in order to enhance cell adaptation and survival under stress conditions. Essential for normal cell morphology in stationary phase and under conditions of starvation. Also regulates a complex network of genes encoding proteins related to biofilm development, and negatively modulates flagellar biosynthesis and swimming capacity. Could be a motile adhesive transcriptional switch, specifically involved in the transition between the planktonic and the attachment stage of biofilm formation. Overexpression produces round cell shape, impairs cell growth rate and induces biofilm development
ECP_0496	198214.SF0380	7E-26	122.5	Gammaproteobacteria													Bacteria	1P1SX@1224,1SS2A@1236,2DXCQ@1,344FN@2	NA|NA|NA		
ECP_0497	199310.c0551	1.9E-234	818.1	Escherichia	tig	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0006464,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0042802,GO:0043021,GO:0043022,GO:0043170,GO:0043335,GO:0043412,GO:0044183,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0050896,GO:0051083,GO:0061077,GO:0071704,GO:0140096,GO:1901564		ko:K03545					ko00000				Bacteria	1MUJP@1224,1RNZE@1236,3XM6A@561,COG0544@1,COG0544@2	NA|NA|NA	D	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase
ECP_0498	155864.EDL933_0509	7.9E-114	416.4	Escherichia	clpP	GO:0000502,GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006508,GO:0006515,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0009056,GO:0009057,GO:0009266,GO:0009314,GO:0009376,GO:0009408,GO:0009628,GO:0009987,GO:0010498,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017171,GO:0019538,GO:0019899,GO:0030163,GO:0031597,GO:0032991,GO:0042623,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0050896,GO:0051117,GO:0051603,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1904949,GO:1905368,GO:1905369	3.4.21.92	ko:K01358	ko04112,ko04212,map04112,map04212				ko00000,ko00001,ko01000,ko01002				Bacteria	1MV46@1224,1RNR6@1236,3XN6V@561,COG0740@1,COG0740@2	NA|NA|NA	O	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins
ECP_0499	155864.EDL933_0510	9.4E-239	832.4	Escherichia	clpX	GO:0000166,GO:0000502,GO:0002020,GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009376,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0019899,GO:0019904,GO:0030163,GO:0030164,GO:0030312,GO:0030554,GO:0031333,GO:0031597,GO:0032271,GO:0032272,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0040007,GO:0042623,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043254,GO:0043335,GO:0044087,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051301,GO:0051704,GO:0065007,GO:0070011,GO:0071704,GO:0071944,GO:0097159,GO:0097367,GO:0097718,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1904949,GO:1905368,GO:1905369		ko:K03544	ko04112,map04112				ko00000,ko00001,ko03110				Bacteria	1MVQK@1224,1RN9N@1236,3XM4E@561,COG1219@1,COG1219@2	NA|NA|NA	O	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP
ECP_0500	199310.c0555	0	1513	Escherichia	lon	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004175,GO:0004176,GO:0004252,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006508,GO:0006515,GO:0006807,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0009056,GO:0009057,GO:0009266,GO:0009314,GO:0009408,GO:0009628,GO:0009987,GO:0010165,GO:0010212,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0017171,GO:0019538,GO:0030163,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051603,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575	3.4.21.53	ko:K01338	ko04112,map04112				ko00000,ko00001,ko01000,ko01002				Bacteria	1MUV2@1224,1RPCB@1236,3XNIW@561,COG0466@1,COG0466@2	NA|NA|NA	O	Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
ECP_0501	754331.AEME01000001_gene2867	8.1E-39	166	Escherichia	hupB	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0005829,GO:0006139,GO:0006323,GO:0006351,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010556,GO:0016043,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0042802,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0051276,GO:0060255,GO:0065007,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2001141		ko:K03530					ko00000,ko03032,ko03036,ko03400				Bacteria	1MZ5B@1224,1S8VH@1236,3XPX1@561,COG0776@1,COG0776@2	NA|NA|NA	L	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions
ECP_0502	199310.c0557	2.6e-311	1074.7	Escherichia	ppiD	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006457,GO:0008150,GO:0009897,GO:0009986,GO:0009987,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0031233,GO:0042802,GO:0044425,GO:0044459,GO:0044464,GO:0061077,GO:0071575,GO:0071944,GO:0098552	5.2.1.8	ko:K01802,ko:K03769,ko:K03770					ko00000,ko01000,ko03110				Bacteria	1MWV0@1224,1RMT5@1236,3XNHD@561,COG0760@1,COG0760@2	NA|NA|NA	O	PPIases accelerate the folding of proteins. Seems to be involved in the folding of outer membrane proteins
ECP_0503	199310.c0558	1.3E-55	222.2	Escherichia	ybaV	GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464	3.1.26.11	ko:K00784,ko:K02237	ko03013,map03013	M00429			ko00000,ko00001,ko00002,ko01000,ko02044,ko03016	3.A.11.1,3.A.11.2			Bacteria	1N6Q3@1224,1SC7U@1236,3XPPW@561,COG1555@1,COG1555@2	NA|NA|NA	L	DNA repair
ECP_0504	199310.c0559	1.3E-66	258.8	Escherichia	tesC	GO:0003674,GO:0003824,GO:0006082,GO:0006629,GO:0006631,GO:0006635,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016289,GO:0016787,GO:0016788,GO:0016790,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0046395,GO:0047617,GO:0055114,GO:0071704,GO:0072329,GO:1901575		ko:K07107,ko:K12500					ko00000,ko01000,ko01004			iSDY_1059.SDY_0684	Bacteria	1REIH@1224,1S40Z@1236,3XPNH@561,COG0824@1,COG0824@2	NA|NA|NA	S	acyl-CoA hydrolase activity
ECP_0507	362663.ECP_0507	4.3E-160	570.5	Escherichia	cof	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0016311,GO:0016462,GO:0016787,GO:0016788,GO:0016791,GO:0016817,GO:0016818,GO:0016999,GO:0017001,GO:0017110,GO:0017144,GO:0018130,GO:0019438,GO:0034641,GO:0042364,GO:0042578,GO:0042723,GO:0042724,GO:0043167,GO:0043169,GO:0044237,GO:0044248,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046483,GO:0046872,GO:0071704,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576		ko:K11938					ko00000,ko01000			iB21_1397.B21_00402,iE2348C_1286.E2348C_0381,iEC55989_1330.EC55989_0460,iECBD_1354.ECBD_3209,iECB_1328.ECB_00398,iECD_1391.ECD_00398,iECIAI39_1322.ECIAI39_0227,iECNA114_1301.ECNA114_0424,iECO103_1326.ECO103_0423,iECO111_1330.ECO111_0479,iECO26_1355.ECO26_0481,iECOK1_1307.ECOK1_0428,iECP_1309.ECP_0507,iECS88_1305.ECS88_0443,iECSE_1348.ECSE_0472,iECW_1372.ECW_m0518,iETEC_1333.ETEC_0499,iEcE24377_1341.EcE24377A_0482,iEcHS_1320.EcHS_A0523,iEcSMS35_1347.EcSMS35_0489,iLF82_1304.LF82_0340,iNRG857_1313.NRG857_02110,iSbBS512_1146.SbBS512_E0369,iUMNK88_1353.UMNK88_498,iUTI89_1310.UTI89_C4390,iWFL_1372.ECW_m0518	Bacteria	1MXAF@1224,1RQXF@1236,3XMPP@561,COG0561@1,COG0561@2	NA|NA|NA	S	Catalyzes the hydrolysis of 4-amino-2-methyl-5- hydroxymethylpyrimidine pyrophosphate (HMP-PP) to 4-amino-2- methyl-5-hydroxymethylpyrimidine phosphate (HMP-P)
ECP_0508	199310.c0564	2.4E-98	364.8	Escherichia	ybaO	GO:0000096,GO:0000098,GO:0001101,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006351,GO:0006355,GO:0006520,GO:0006534,GO:0006725,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009063,GO:0009069,GO:0009071,GO:0009093,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010243,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016054,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019752,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0042221,GO:0043170,GO:0043200,GO:0043254,GO:0043436,GO:0043565,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044271,GO:0044273,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0046395,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901698,GO:1901700,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000142,GO:2000144,GO:2001141		ko:K03719,ko:K05800					ko00000,ko03000,ko03036				Bacteria	1RDB3@1224,1S2E1@1236,3XPDQ@561,COG1522@1,COG1522@2	NA|NA|NA	K	Plays a role in L-cysteine detoxification. Binds to the dlsT(yhaO)-yhaM operon promoter in the presence but not absence of L-cysteine
ECP_0509	199310.c0565	0	1141.7	Escherichia	mdlA	GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0008144,GO:0016020,GO:0016021,GO:0017076,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044425,GO:0044464,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363		ko:K06148,ko:K18889	ko02010,map02010	M00707			ko00000,ko00001,ko00002,ko02000	3.A.1,3.A.1.106.13,3.A.1.106.5			Bacteria	1MUBM@1224,1RMUR@1236,3XMIE@561,COG1132@1,COG1132@2	NA|NA|NA	P	ATP-binding
